index,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,index,average_act,index,year,state,zip_code,school_type,school_level,id
0,-0.03428815154969267,-0.45902781778802504,0.6996196988435256,-0.07826145321432575,-0.5714269564720214,3053,19.3,3053,2016-2017,MI,49451,Regular School,High,262937006516
1,0.26939203151151275,-0.9123538484630804,-0.8202833314701129,-0.5451509958503042,1.0036455530515715,4420,17.7350427350427,4420,2016-2017,NC,28052,Regular School,High,370162000691
2,0.10919974932551527,-0.4857521143977016,0.19101302056357675,-0.5178673973552355,-0.3373321977756275,1485,20.7948717948718,1485,2016-2017,IN,47348,Regular School,High,180057000102
3,-0.7188865821773476,1.9310548659553837,0.40452018903780107,0.9987772563744435,-1.2660997055013516,5902,22.9120879120879,5902,2016-2017,PA,19038,Regular School,High,422262003376
4,-0.07811820391609167,1.9493546255527585,1.1871365558266793,5.099858704327737,-1.6596281000484274,3722,27.1367521367521,3722,2016-2017,NJ,8558,Regular School,High,341059005250
5,1.684261706403801,-0.35834782810547855,-0.768464449138316,0.010140723064529154,0.3457300561718486,3653,16.3431013431013,3653,2016-2017,NJ,7205,Regular School,High,340729005540
6,4.119057940910555,-1.1426018175999963,-2.469699199844309,-0.8671223367533569,1.1097088287062908,3540,15.9279609279609,3540,2016-2017,NJ,8608,Regular School,Other,340071702925
7,1.6457969891746724,-0.8327576692891565,-1.4280367822667193,-0.6502218751611007,1.8326035040162647,4020,14.8290598290598,4020,2016-2017,NY,10468,Regular School,High,360008705181
8,0.44067898698831187,-0.9339039727521667,1.8722281833745587,-0.6238504942448946,-1.501552443147324,3681,22.7899877899878,3681,2016-2017,NJ,8088,Regular School,High,340849000701
9,-0.8743616631751546,-1.3084892867739986,0.3514986405787096,0.13710482426802525,1.1749381657151903,2182,18.0,2182,2016-2017,LA,70755,Regular School,High,220126001029
10,-0.6794724283267375,1.7243255117248284,0.3923561538343539,0.9124068374303277,-1.1085275274330313,7448,24.6214896214896,7448,2016-2017,WA,98501,Regular School,High,530618000937
11,-0.8969292001771174,-0.355663591523317,0.6093683293314438,-0.163719654579579,-0.7237364880777708,7643,22.9,7643,2016-2017,WI,54736,Regular School,Other,550384000136
12,-1.0556627457539915,1.1112634437541957,-1.4900239624834462,-0.11081103500555514,1.2709570120865887,2102,17.0,2102,2016-2017,LA,70806,Regular School,High,220054000434
13,1.279120104917431,-1.4785520088328328,-1.1166846015183038,-1.3054843478321814,1.3191351425292985,3974,19.2490842490842,3974,2016-2017,NY,10455,Regular School,Other,360008400757
14,-0.22666209779226934,0.9915373506145314,1.3355213920854636,1.0817061271801234,-0.5513748154665647,6101,19.5,6101,2016-2017,TN,37363,Regular School,High,470159000514
15,-1.0860790238969873,-0.632172358893765,0.6690894227208017,-0.4369288194488918,0.9907085068613218,4128,17.3199023199023,4128,2016-2017,NY,11373,Regular School,High,360009802038
16,2.3708818607008855,-1.407519348906117,-2.4374169130886343,-1.4455512106229749,1.7027551371756298,4004,15.8058608058608,4004,2016-2017,NY,10456,Regular School,High,360008605668
17,-0.5028581601286394,-0.6899080215741057,-0.704834023695719,-0.36826371442178873,1.1393035582895845,594,19.2735042735043,594,2016-2017,GA,31078,Regular School,High,130153000080
18,-0.26617402327566914,-0.272265936501606,1.218845694495856,-0.2962814545624585,0.6594205742441911,3306,20.0,3306,2016-2017,MO,65672,Regular School,High,291455000684
19,0.3989810399555501,-0.07710051258734392,-0.4888143863576766,-0.870978529245821,1.21022645344314,2619,18.1,2619,2016-2017,MI,48015,Regular School,Other,260096708048
20,-0.4986345001601892,-0.1875745875214949,0.46503009388182764,0.30362599684583075,-0.8892840247473527,7675,23.4,7675,2016-2017,WI,54013,Regular School,High,550552000587
